Geneid	GeneName	NewName	9_SC1	10_Ssh1	11_SC2	12_Ssh2
ENSG00000000003	TSPAN6	ENSG00000000003_TSPAN6	1171	745	659	835
ENSG00000000005	TNMD	ENSG00000000005_TNMD	0	0	0	0
ENSG00000000419	DPM1	ENSG00000000419_DPM1	2527	1387	1451	1965
ENSG00000000457	SCYL3	ENSG00000000457_SCYL3	408	313	191	337
ENSG00000000460	C1orf112	ENSG00000000460_C1orf112	1266	336	456	490
ENSG00000000938	FGR	ENSG00000000938_FGR	0	3	0	0
ENSG00000000971	CFH	ENSG00000000971_CFH	0	4	4	19
ENSG00000001036	FUCA2	ENSG00000001036_FUCA2	668	516	393	740
ENSG00000001084	GCLC	ENSG00000001084_GCLC	1420	953	1036	1466
ENSG00000001167	NFYA	ENSG00000001167_NFYA	3524	2150	2217	3031
ENSG00000001460	STPG1	ENSG00000001460_STPG1	324	382	246	466
ENSG00000001461	NIPAL3	ENSG00000001461_NIPAL3	2035	1321	1197	1785
ENSG00000001497	LAS1L	ENSG00000001497_LAS1L	2380	1074	1470	1327
ENSG00000001561	ENPP4	ENSG00000001561_ENPP4	23	26	23	36
ENSG00000001617	SEMA3F	ENSG00000001617_SEMA3F	607	680	364	610
ENSG00000001626	CFTR	ENSG00000001626_CFTR	0	0	0	0
ENSG00000001629	ANKIB1	ENSG00000001629_ANKIB1	3571	2172	1739	2574
ENSG00000001630	CYP51A1	ENSG00000001630_CYP51A1	182	331	206	356
ENSG00000001631	KRIT1	ENSG00000001631_KRIT1	368	180	146	184
ENSG00000002016	RAD52	ENSG00000002016_RAD52	353	268	199	166
ENSG00000002079	MYH16	ENSG00000002079_MYH16	61	17	25	23
ENSG00000002330	BAD	ENSG00000002330_BAD	1382	1662	1204	1300
ENSG00000002549	LAP3	ENSG00000002549_LAP3	1775	1227	875	1947
ENSG00000002586	CD99	ENSG00000002586_CD99	2536	2579	2444	2982
ENSG00000002587	HS3ST1	ENSG00000002587_HS3ST1	210	171	154	206
ENSG00000002726	AOC1	ENSG00000002726_AOC1	2	5	0	2
ENSG00000002745	WNT16	ENSG00000002745_WNT16	1	0	0	0
ENSG00000002746	HECW1	ENSG00000002746_HECW1	77	82	51	70
ENSG00000002822	MAD1L1	ENSG00000002822_MAD1L1	41	47	36	58
ENSG00000002834	LASP1	ENSG00000002834_LASP1	9789	6899	5611	7074
ENSG00000002919	SNX11	ENSG00000002919_SNX11	618	470	363	660
ENSG00000002933	TMEM176A	ENSG00000002933_TMEM176A	0	0	0	0
ENSG00000003056	M6PR	ENSG00000003056_M6PR	2994	1817	1798	2769
ENSG00000003096	KLHL13	ENSG00000003096_KLHL13	453	265	181	307
ENSG00000003137	CYP26B1	ENSG00000003137_CYP26B1	6	40	23	52
ENSG00000003147	ICA1	ENSG00000003147_ICA1	78	76	59	59
ENSG00000003249	DBNDD1	ENSG00000003249_DBNDD1	211	402	142	274
ENSG00000003393	ALS2	ENSG00000003393_ALS2	1581	1156	986	1677
ENSG00000003400	CASP10	ENSG00000003400_CASP10	335	297	252	375
ENSG00000003402	CFLAR	ENSG00000003402_CFLAR	716	641	373	583
ENSG00000003436	TFPI	ENSG00000003436_TFPI	0	0	0	2
ENSG00000003509	NDUFAF7	ENSG00000003509_NDUFAF7	451	318	227	377
ENSG00000003756	RBM5	ENSG00000003756_RBM5	2648	1488	1375	1568
ENSG00000003987	MTMR7	ENSG00000003987_MTMR7	0	0	2	1
ENSG00000003989	SLC7A2	ENSG00000003989_SLC7A2	291	100	112	122
ENSG00000004059	ARF5	ENSG00000004059_ARF5	6100	5414	4107	5457
ENSG00000004139	SARM1	ENSG00000004139_SARM1	539	911	413	868
ENSG00000004142	POLDIP2	ENSG00000004142_POLDIP2	5547	4148	3129	5167
ENSG00000004399	PLXND1	ENSG00000004399_PLXND1	1331	1075	860	1433
ENSG00000004455	AK2	ENSG00000004455_AK2	6381	4235	4308	5452
ENSG00000004468	CD38	ENSG00000004468_CD38	4	13	13	28
ENSG00000004478	FKBP4	ENSG00000004478_FKBP4	9070	4014	4814	7904
ENSG00000004487	KDM1A	ENSG00000004487_KDM1A	5735	4233	3339	4900
ENSG00000004534	RBM6	ENSG00000004534_RBM6	2494	1453	1604	2139
ENSG00000004660	CAMKK1	ENSG00000004660_CAMKK1	494	369	262	350
ENSG00000004700	RECQL	ENSG00000004700_RECQL	1895	1060	1139	1702
ENSG00000004766	VPS50	ENSG00000004766_VPS50	1056	672	640	842
ENSG00000004776	HSPB6	ENSG00000004776_HSPB6	0	4	1	10
ENSG00000004777	ARHGAP33	ENSG00000004777_ARHGAP33	455	150	197	113
ENSG00000004779	NDUFAB1	ENSG00000004779_NDUFAB1	1922	1252	1314	1923
ENSG00000004799	PDK4	ENSG00000004799_PDK4	14	40	3	29
ENSG00000004809	SLC22A16	ENSG00000004809_SLC22A16	0	0	0	0
ENSG00000004838	ZMYND10	ENSG00000004838_ZMYND10	16	15	2	9
ENSG00000004846	ABCB5	ENSG00000004846_ABCB5	16	10	10	5
ENSG00000004848	ARX	ENSG00000004848_ARX	0	2	0	0
ENSG00000004864	SLC25A13	ENSG00000004864_SLC25A13	1549	672	727	790
ENSG00000004866	ST7	ENSG00000004866_ST7	1004	765	640	898
ENSG00000004897	CDC27	ENSG00000004897_CDC27	4330	2127	2061	2325
ENSG00000004939	SLC4A1	ENSG00000004939_SLC4A1	1	2	2	4
ENSG00000004948	CALCR	ENSG00000004948_CALCR	0	0	0	0
ENSG00000004961	HCCS	ENSG00000004961_HCCS	1161	731	623	929
ENSG00000004975	DVL2	ENSG00000004975_DVL2	2040	2182	1221	2286
ENSG00000005001	PRSS22	ENSG00000005001_PRSS22	372	651	182	633
ENSG00000005007	UPF1	ENSG00000005007_UPF1	4827	3735	2927	4408
ENSG00000005020	SKAP2	ENSG00000005020_SKAP2	576	393	307	401
ENSG00000005022	SLC25A5	ENSG00000005022_SLC25A5	17925	9537	10947	12826
ENSG00000005059	MCUB	ENSG00000005059_MCUB	806	269	483	391
ENSG00000005073	HOXA11	ENSG00000005073_HOXA11	35	22	23	49
ENSG00000005075	POLR2J	ENSG00000005075_POLR2J	1413	755	758	791
ENSG00000005100	DHX33	ENSG00000005100_DHX33	2611	1140	1306	1716
ENSG00000005102	MEOX1	ENSG00000005102_MEOX1	46	45	32	57
ENSG00000005108	THSD7A	ENSG00000005108_THSD7A	16	5	1	8
ENSG00000005156	LIG3	ENSG00000005156_LIG3	1760	874	990	1170
ENSG00000005175	RPAP3	ENSG00000005175_RPAP3	1720	972	947	1320
ENSG00000005187	ACSM3	ENSG00000005187_ACSM3	139	42	61	86
ENSG00000005189	REXO5	ENSG00000005189_REXO5	130	50	66	65
ENSG00000005194	CIAPIN1	ENSG00000005194_CIAPIN1	3021	1979	1850	2511
ENSG00000005206	SPPL2B	ENSG00000005206_SPPL2B	884	743	502	394
ENSG00000005238	FAM214B	ENSG00000005238_FAM214B	368	671	540	1080
ENSG00000005243	COPZ2	ENSG00000005243_COPZ2	120	308	107	332
ENSG00000005249	PRKAR2B	ENSG00000005249_PRKAR2B	40	33	19	42
ENSG00000005302	MSL3	ENSG00000005302_MSL3	1011	541	566	854
ENSG00000005339	CREBBP	ENSG00000005339_CREBBP	3383	1913	1685	2995
ENSG00000005379	TSPOAP1	ENSG00000005379_TSPOAP1	311	622	237	552
ENSG00000005381	MPO	ENSG00000005381_MPO	84	26	66	90
ENSG00000005421	PON1	ENSG00000005421_PON1	0	0	0	0
ENSG00000005436	GCFC2	ENSG00000005436_GCFC2	788	275	323	269
ENSG00000005448	WDR54	ENSG00000005448_WDR54	686	683	538	718
ENSG00000005469	CROT	ENSG00000005469_CROT	1961	1576	729	1032
ENSG00000005471	ABCB4	ENSG00000005471_ABCB4	0	3	0	1
ENSG00000005483	KMT2E	ENSG00000005483_KMT2E	1939	1055	903	1041
ENSG00000005486	RHBDD2	ENSG00000005486_RHBDD2	2427	3344	1765	3498
ENSG00000005513	SOX8	ENSG00000005513_SOX8	1	0	5	4
ENSG00000005700	IBTK	ENSG00000005700_IBTK	1658	1291	1494	1595
ENSG00000005801	ZNF195	ENSG00000005801_ZNF195	542	306	316	388
ENSG00000005810	MYCBP2	ENSG00000005810_MYCBP2	3056	1617	1412	2662
ENSG00000005812	FBXL3	ENSG00000005812_FBXL3	1186	676	564	932
ENSG00000005844	ITGAL	ENSG00000005844_ITGAL	0	0	0	0
ENSG00000005882	PDK2	ENSG00000005882_PDK2	609	707	359	586
ENSG00000005884	ITGA3	ENSG00000005884_ITGA3	17232	11259	13574	13405
